GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.rest,CustomerLookupController,13,9,0,0,3,1,1,1,1,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.rest,UserController,12,9,0,0,3,1,1,1,1,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.rest,AuditController,50,18,0,0,11,1,1,1,1,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.rest,SourceSystemController,12,9,0,0,3,1,1,1,1,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.rest,DictionaryController,54,12,0,0,10,1,1,1,1,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.rest,ProductController,120,24,0,0,23,1,4,1,4,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.rest,CustomerController,84,27,0,0,18,1,3,1,3,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.customertype,QLocalizedCustomerTypeId,18,39,0,0,2,7,1,3,1,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.customertype,QLocalizedCustomerType,25,39,1,1,6,8,4,3,3,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.customertype,LocalizedCustomerTypeId,18,0,0,0,4,0,4,0,4,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.customertype,LocalizedCustomerType,130,0,22,0,5,0,22,0,11,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.errorcode,LocalizedErrorCode,130,0,22,0,5,0,22,0,11,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.errorcode,LocalizedErrorCodeId,18,0,0,0,4,0,4,0,4,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.errorcode,QLocalizedErrorCode,25,39,1,1,6,8,4,3,3,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.errorcode,QLocalizedErrorCodeId,18,39,0,0,2,7,1,3,1,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary,Availability,3,67,0,0,1,6,1,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary,ErrorCode,0,81,0,0,0,8,0,3,0,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary,CustomerStatus,3,45,0,0,1,4,1,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary,RejectionReason,0,59,0,0,0,6,0,3,0,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary,CustomerState,3,34,0,0,1,3,1,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary,AccountType,3,122,0,0,1,11,1,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary,BooleanValue,3,34,0,0,1,3,1,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary,Language,0,26,0,0,0,3,0,3,0,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary,DataSet,3,34,0,0,1,3,1,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary,CustomerType,3,45,0,0,1,4,1,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception.status,ErrorMessage,0,125,0,0,0,12,0,3,0,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.service.impl.factory,PageFactory,0,536,0,6,0,39,0,10,0,7
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.service.impl.factory,FieldPredicateExpressionFactory.FieldType,0,64,0,0,0,2,0,1,0,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.service.impl.factory,FieldPredicateExpressionFactory,187,95,16,0,33,34,17,8,9,8
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.service.impl.factory,PredicateFactory,95,271,0,0,23,39,5,3,5,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.service.impl.factory,FieldPredicateExpressionFactory.FieldPredicateExpressionFactoryBuilder,14,49,0,0,0,1,1,8,1,8
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.pageparameter.search,SearchBy,164,0,30,0,5,0,26,0,11,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.pageparameter.search,SearchByOperation,37,0,0,0,4,0,3,0,3,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.pageparameter.search,SearchByField.Audit,3,67,0,0,1,6,1,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.pageparameter.search,SearchByField.Customer,3,111,0,0,1,10,1,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.pageparameter.search,SearchByField.Product,3,100,0,0,1,9,1,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception,ProductStatusNotFound,9,0,0,0,3,0,2,0,2,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception,UploadMediaFileException,9,0,0,0,3,0,2,0,2,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception,IllegalParametersException,9,0,0,0,3,0,2,0,2,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception,CustomerNotFoundException,9,0,0,0,3,0,2,0,2,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception,IncorrectFreeTextValueException,9,0,0,0,3,0,2,0,2,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception,ProductNotFoundException,9,0,0,0,3,0,2,0,2,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception,CustomerLookupNotFoundException,0,9,0,0,0,3,0,2,0,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception,MissingUserAttribute,9,0,0,0,3,0,2,0,2,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.view,ProductView,648,98,134,0,9,10,95,11,28,11
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.view,CustomerLookupView,519,95,110,0,3,13,74,14,19,14
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.view,QProductView,186,99,0,0,4,19,2,2,2,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.view,CustomerView,720,114,149,1,9,12,105,13,30,13
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.view,QCustomerLookupView,121,0,2,0,25,0,7,0,6,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.view,QCustomerView,202,107,0,0,4,21,2,2,2,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.service.impl,ProductServiceImpl,632,28,12,0,118,2,40,2,34,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.service.impl,AuditServiceImpl,118,16,2,0,10,2,3,2,2,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.service.impl,CustomerServiceImpl,117,118,1,1,22,11,7,4,6,4
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.service.impl,UserServiceImpl,25,21,0,0,6,7,2,3,2,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.service.impl,SourceSystemImpl,16,10,0,0,5,2,1,2,1,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.service.impl,MediaFileServiceImpl,49,7,0,0,13,2,4,2,4,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.service.impl,DictionaryServiceImpl,136,28,0,0,27,2,7,2,7,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception.common,NotFoundException,5,4,0,0,1,2,1,1,1,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception.common,BadRequestException,0,9,0,0,0,3,0,2,0,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception.common,InternalServerException,18,0,0,0,6,0,4,0,4,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception.common,UniqueException,9,0,0,0,3,0,2,0,2,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception.common,ForbiddenException,9,0,0,0,3,0,2,0,2,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,QContactDetails,69,0,0,0,10,0,4,0,4,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,CustomerStatus,395,43,78,0,11,1,62,2,23,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,QSourceSystem,31,65,0,0,2,9,1,3,1,3
